GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
5074	0.00	0.00	0.0509	38.906132	1.981928	2234.54	PAWR	pro-apoptotic WT1 regulator
4060	0.00	0.00	0.0473	-45.028328	-2.131296	2898.83	LUM	lumican
9891	0.00	0.00	0.0617	56.594208	3.492568	1829.64	NUAK1	NUAK family kinase 1
55504	0.00	0.00	0.054	-40.958796	-2.210149	1949.69	TNFRSF19	TNF receptor superfamily member 19
1282	0.00	0.00	0.045	66.382197	2.987431	40672.51	COL4A1	collagen type IV alpha 1 chain
1284	0.00	0.00	0.0306	56.955139	1.742417	40761.18	COL4A2	collagen type IV alpha 2 chain
10979	0.00	0.00	0.0401	41.323747	1.656366	6544.04	FERMT2	FERM domain containing kindlin 2
87	0.00	0.00	0.0328	38.944625	1.277527	16033.52	ACTN1	actinin alpha 1
10516	0.00	0.00	0.0385	38.413481	1.480828	3848.65	FBLN5	fibulin 5
26585	0.00	0.00	0.0421	-37.736081	-1.589467	7212.76	GREM1	gremlin 1, DAN family BMP antagonist
7057	0.00	0.00	0.0289	69.35381	2.001991	80785.73	THBS1	thrombospondin 1
2200	0.00	0.00	0.0314	37.69169	1.185115	38633.51	FBN1	fibrillin 1
7168	0.00	0.00	0.0822	38.97689	3.20274	31323.06	TPM1	tropomyosin 1
4088	0.00	0.00	0.049	-55.164068	-2.703178	3406.53	SMAD3	SMAD family member 3
22801	0.00	0.00	0.0526	44.967844	2.365266	2702.72	ITGA11	integrin subunit alpha 11
8482	0.00	0.00	0.0628	46.669561	2.931306	1966.61	SEMA7A	semaphorin 7A (John Milton Hagen blood group)
64131	0.00	0.00	0.0466	62.090463	2.894191	7261.3	XYLT1	xylosyltransferase 1
8140	0.00	0.00	0.0376	53.717537	2.017298	7581.31	SLC7A5	solute carrier family 7 member 5
3487	0.00	0.00	0.0381	-41.089955	-1.564048	9195.51	IGFBP4	insulin like growth factor binding protein 4
1277	0.00	0.00	0.0336	57.390362	1.928348	310076.83	COL1A1	collagen type I alpha 1 chain
4884	0.00	0.00	0.1227	-47.489192	-5.829084	1842.74	NPTX1	neuronal pentraxin 1
1000	0.00	0.00	0.0508	51.64023	2.621821	3395.36	CDH2	cadherin 2
10272	0.00	0.00	0.0578	54.153365	3.13051	2008.05	FSTL3	follistatin like 3
4616	0.00	0.00	0.0618	40.532731	2.503596	1696.63	GADD45B	growth arrest and DNA damage inducible beta
1264	0.00	0.00	0.063	45.593465	2.872951	1388.84	CNN1	calponin 1
140885	0.00	0.00	0.0474	37.561619	1.780091	2530.44	SIRPA	signal regulatory protein alpha
56937	0.00	0.00	0.0644	49.916542	3.213943	1434.14	PMEPA1	prostate transmembrane protein, androgen induced 1
7078	0.00	0.00	0.0402	66.117718	2.659028	37033.82	TIMP3	TIMP metallopeptidase inhibitor 3
633	0.00	0.00	0.0328	38.389596	1.258396	23759.17	BGN	biglycan
1634	1.18e-304	7.42e-307	0.0348	-37.444347	-1.302407	25307.72	DCN	decorin
359845	3.43e-304	2.19e-306	0.0622	37.415505	2.326287	1235.43	RFLNB	refilin B
55752	2.19e-303	1.41e-305	0.0333	37.365745	1.244182	10953.58	SEPTIN11	septin 11
323	4.22e-303	2.74e-305	0.0469	37.347881	1.750347	2374.91	APBB2	amyloid beta precursor protein binding family B member 2
23012	1.58e-301	1.04e-303	0.0556	37.250597	2.070325	1479.21	STK38L	serine/threonine kinase 38 like
7040	1.45e-298	9.59e-301	0.0416	37.06691	1.543738	4244.71	TGFB1	transforming growth factor beta 1
11167	2.08e-296	1.39e-298	0.0306	36.93246	1.129654	28036.18	FSTL1	follistatin like 1
5033	3.02e-292	2.04e-294	0.0353	36.672045	1.293878	5584.99	P4HA1	prolyl 4-hydroxylase subunit alpha 1
3910	6.25e-292	4.26e-294	0.0351	-36.65192	-1.285083	6510.45	LAMA4	laminin subunit alpha 4
3082	8.00e-289	5.51e-291	0.1079	-36.456078	-3.93228	811.36	HGF	hepatocyte growth factor
1129	6.75e-287	4.69e-289	0.0637	-36.334048	-2.316232	1468.87	CHRM2	cholinergic receptor muscarinic 2
857	8.47e-287	5.94e-289	0.0365	-36.327576	-1.325917	9781.99	CAV1	caveolin 1
6444	1.14e-285	8.06e-288	0.0619	36.255768	2.245252	1592.48	SGCD	sarcoglycan delta
23670	1.82e-284	1.30e-286	0.0506	36.179105	1.831849	2262.88	CEMIP2	cell migration inducing hyaluronidase 2
6909	3.87e-284	2.79e-286	0.0517	-36.157987	-1.867823	2067.53	TBX2	T-box transcription factor 2
6563	6.08e-281	4.42e-283	0.0798	-35.953789	-2.868097	956.4	SLC14A1	solute carrier family 14 member 1 (Kidd blood group)
3987	1.17e-280	8.57e-283	0.0428	35.935354	1.539276	3288.01	LIMS1	LIM zinc finger domain containing 1
100132116	3.40e-278	2.51e-280	0.0985	35.777044	3.525472	4234.61	ACTA2-AS1	ACTA2 antisense RNA 1
7436	1.46e-277	1.09e-279	0.0572	35.736152	2.044088	1349.59	VLDLR	very low density lipoprotein receptor
4982	5.05e-277	3.80e-279	0.0346	-35.701108	-1.236817	7927.33	TNFRSF11B	TNF receptor superfamily member 11b
4254	1.34e-275	1.02e-277	0.0619	-35.609018	-2.204303	1595.2	KITLG	KIT ligand
7421	4.36e-275	3.33e-277	0.058	35.575657	2.063051	1393.46	VDR	vitamin D receptor
3678	1.92e-273	1.48e-275	0.0356	35.468908	1.261674	14555.81	ITGA5	integrin subunit alpha 5
1004	1.35e-272	1.05e-274	0.0372	35.41363	1.317751	5813.01	CDH6	cadherin 6
57761	2.42e-272	1.90e-274	0.0474	35.396975	1.676337	2837.82	TRIB3	tribbles pseudokinase 3
140609	1.89e-269	1.49e-271	0.0418	35.208254	1.471145	5623.36	NEK7	NIMA related kinase 7
2191	2.10e-268	1.67e-270	0.0421	35.139641	1.479464	4468.94	FAP	fibroblast activation protein alpha
10875	3.21e-261	2.58e-263	0.1597	-34.665839	-5.535704	896.61	FGL2	fibrinogen like 2
80176	5.41e-260	4.38e-262	0.0585	34.584093	2.0247	1956.26	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1
161176	1.12e-255	9.15e-258	0.0721	-34.295517	-2.473872	1016.73	SYNE3	spectrin repeat containing nuclear envelope family member 3
4739	8.54e-255	7.02e-257	0.066	34.236099	2.261143	1097.5	NEDD9	neural precursor cell expressed, developmentally down-regulated 9
10085	1.00e-254	8.31e-257	0.0386	34.231175	1.322462	7057.79	EDIL3	EGF like repeats and discoidin domains 3
388	3.03e-253	2.53e-255	0.0474	34.131328	1.617769	4993.24	RHOB	ras homolog family member B
10395	3.71e-251	3.12e-253	0.0389	33.990054	1.321731	6153.69	DLC1	DLC1 Rho GTPase activating protein
164284	4.49e-251	3.81e-253	0.0565	33.984245	1.921452	1525.38	APCDD1L	APC down-regulated 1 like
493	5.64e-249	4.82e-251	0.0385	-33.841632	-1.304382	6352.58	ATP2B4	ATPase plasma membrane Ca2+ transporting 4
4237	1.03e-248	8.90e-251	0.0576	33.823506	1.948239	1473.25	MFAP2	microfibril associated protein 2
10525	7.44e-247	6.45e-249	0.0385	33.696735	1.298296	4164.12	HYOU1	hypoxia up-regulated 1
1009	1.52e-241	1.33e-243	0.039	33.332025	1.30041	4466.25	CDH11	cadherin 11
131578	1.72e-241	1.51e-243	0.1048	33.328081	3.491675	537.32	LRRC15	leucine rich repeat containing 15
219699	1.80e-240	1.60e-242	0.0508	33.257347	1.68977	2846.75	UNC5B	unc-5 netrin receptor B
6541	9.77e-239	8.72e-241	0.0413	33.136978	1.366918	4376.24	SLC7A1	solute carrier family 7 member 1
7071	5.41e-237	4.86e-239	0.0512	33.015532	1.690522	2004.96	KLF10	KLF transcription factor 10
3939	1.46e-236	1.32e-238	0.0354	32.985208	1.166332	20492	LDHA	lactate dehydrogenase A
7045	2.94e-234	2.68e-236	0.1037	32.823962	3.402615	174640.78	TGFBI	transforming growth factor beta induced
5420	9.93e-234	9.11e-236	0.0723	32.786696	2.370387	864.43	PODXL	podocalyxin like
1281	2.73e-233	2.52e-235	0.0312	32.755677	1.021974	63149.68	COL3A1	collagen type III alpha 1 chain
2034	2.89e-231	2.69e-233	0.0724	-32.612961	-2.360798	1024.63	EPAS1	endothelial PAS domain protein 1
285761	3.07e-231	2.88e-233	0.0492	32.610872	1.603925	2187.84	DCBLD1	discoidin, CUB and LCCL domain containing 1
5230	3.16e-231	2.99e-233	0.04	32.609731	1.305746	9497.99	PGK1	phosphoglycerate kinase 1
10398	5.28e-230	5.02e-232	0.043	32.523162	1.398745	8439.94	MYL9	myosin light chain 9
6319	2.45e-229	2.35e-231	0.0377	32.475733	1.223988	30254.05	SCD	stearoyl-CoA desaturase
3918	6.72e-229	6.47e-231	0.0782	32.444514	2.538106	775.9	LAMC2	laminin subunit gamma 2
10216	4.31e-228	4.18e-230	0.1117	32.387062	3.618473	491.84	PRG4	proteoglycan 4
60	2.44e-227	2.38e-229	0.0311	32.333305	1.00579	94242.25	ACTB	actin beta
3309	9.07e-227	8.91e-229	0.0335	32.292529	1.080333	31160.55	HSPA5	heat shock protein family A (Hsp70) member 5
4017	1.71e-226	1.69e-228	0.0395	32.272762	1.275858	7821.48	LOXL2	lysyl oxidase like 2
9315	1.83e-224	1.82e-226	0.0378	32.127465	1.213242	4099.93	NREP	neuronal regeneration related protein
54541	2.28e-224	2.28e-226	0.057	32.120455	1.831457	2921.33	DDIT4	DNA damage inducible transcript 4
338773	2.77e-224	2.79e-226	0.0779	-32.114246	-2.50101	977.17	TMEM119	transmembrane protein 119
23400	4.02e-222	4.08e-224	0.0615	31.958789	1.965767	1303.81	ATP13A2	ATPase cation transporting 13A2
101927096	2.25e-220	2.30e-222	0.0681	31.832524	2.16918	1023.86	CLMAT3	colorectal liver metastasis associated transcript 3
50507	4.04e-218	4.15e-220	0.1137	31.669059	3.601917	510.42	NOX4	NADPH oxidase 4
10848	1.08e-217	1.12e-219	0.0669	31.637733	2.118019	1149.07	PPP1R13L	protein phosphatase 1 regulatory subunit 13 like
8974	1.85e-217	1.92e-219	0.0384	31.620612	1.215521	4613.44	P4HA2	prolyl 4-hydroxylase subunit alpha 2
9853	1.77e-216	1.85e-218	0.0497	31.549032	1.567682	1948.06	RUSC2	RUN and SH3 domain containing 2
1278	1.37e-214	1.44e-216	0.029	31.410875	0.911042	189074.47	COL1A2	collagen type I alpha 2 chain
7286	4.17e-214	4.41e-216	0.0696	31.375204	2.184015	986.17	TUFT1	tuftelin 1
669	1.44e-213	1.53e-215	0.066	31.335522	2.066719	957.59	BPGM	bisphosphoglycerate mutase
9260	2.25e-213	2.41e-215	0.0424	31.321133	1.329518	6167.78	PDLIM7	PDZ and LIM domain 7
6782	9.82e-213	1.06e-214	0.0515	31.27386	1.611813	2287.13	HSPA13	heat shock protein family A (Hsp70) member 13
72	1.61e-212	1.75e-214	0.052	31.257846	1.624359	2850.06	ACTG2	actin gamma 2, smooth muscle
378	4.26e-212	4.64e-214	0.0332	31.226586	1.036842	7868.83	ARF4	ADP ribosylation factor 4
1831	3.25e-211	3.56e-213	0.056	31.16136	1.74645	1386.63	TSC22D3	TSC22 domain family member 3
8218	4.42e-211	4.88e-213	0.0876	31.151239	2.727429	699.34	CLTCL1	clathrin heavy chain like 1
122786	2.52e-210	2.80e-212	0.0344	31.095184	1.071046	8525.64	FRMD6	FERM domain containing 6
169611	6.14e-210	6.86e-212	0.0904	-31.066384	-2.809835	802.03	OLFML2A	olfactomedin like 2A
71	1.99e-209	2.23e-211	0.0308	31.028436	0.956694	54483.2	ACTG1	actin gamma 1
6520	5.75e-208	6.48e-210	0.0418	30.919747	1.292428	3278.22	SLC3A2	solute carrier family 3 member 2
84981	1.02e-207	1.16e-209	0.0543	30.900894	1.677417	1677.07	MIR22HG	MIR22 host gene
3624	1.75e-207	2.00e-209	0.0428	30.883393	1.323088	2781.38	INHBA	inhibin subunit beta A
1307	3.03e-207	3.48e-209	0.0355	30.865422	1.096588	5684.42	COL16A1	collagen type XVI alpha 1 chain
8540	3.09e-207	3.56e-209	0.0521	30.86464	1.607044	1718.92	AGPS	alkylglycerone phosphate synthase
115701	6.72e-207	7.79e-209	0.0597	30.839306	1.840065	1612.18	ALPK2	alpha kinase 2
9902	1.37e-204	1.60e-206	0.0313	30.666325	0.959333	14106.71	MRC2	mannose receptor C type 2
10801	3.50e-204	4.11e-206	0.0432	-30.635598	-1.323536	5534.24	SEPTIN9	septin 9
79987	6.60e-203	7.78e-205	0.0703	-30.539555	-2.147028	1016.64	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
3486	9.17e-203	1.09e-204	0.1173	30.528602	3.579751	30192.84	IGFBP3	insulin like growth factor binding protein 3
727936	6.72e-201	8.01e-203	0.0877	30.387602	2.664971	672.3	GXYLT2	glucoside xylosyltransferase 2
2115	9.14e-199	1.10e-200	0.0624	-30.225494	-1.886937	1392.71	ETV1	ETS variant transcription factor 1
311	7.79e-196	9.39e-198	0.044	-30.001482	-1.318672	3915.84	ANXA11	annexin A11
771	1.97e-194	2.39e-196	0.0958	-29.893485	-2.862375	641.69	CA12	carbonic anhydrase 12
6747	1.41e-192	1.72e-194	0.0381	29.750365	1.134056	4856.83	SSR3	signal sequence receptor subunit 3
3491	1.05e-191	1.29e-193	0.0388	29.682671	1.153172	12454.26	CCN1	cellular communication network factor 1
120	3.37e-191	4.15e-193	0.0429	-29.643237	-1.271052	2856	ADD3	adducin 3
6405	2.55e-189	3.15e-191	0.08	-29.496968	-2.360888	844.83	SEMA3F	semaphorin 3F
5097	1.59e-188	1.97e-190	0.1294	29.434801	3.808437	406.53	PCDH1	protocadherin 1
160428	3.03e-187	3.78e-189	0.0362	29.334371	1.062681	5295.96	ALDH1L2	aldehyde dehydrogenase 1 family member L2
3554	4.66e-187	5.85e-189	0.0614	-29.319532	-1.799421	1366.02	IL1R1	interleukin 1 receptor type 1
26136	4.81e-186	6.07e-188	0.0578	29.23969	1.688753	1795.56	TES	testin LIM domain protein
51435	5.02e-186	6.37e-188	0.0415	-29.238059	-1.212937	10504.57	SCARA3	scavenger receptor class A member 3
5708	5.06e-185	6.45e-187	0.0368	29.158845	1.072186	5670.38	PSMD2	proteasome 26S subunit ubiquitin receptor, non-ATPase 2
113146	9.88e-185	1.27e-186	0.0416	-29.135766	-1.212953	4090.53	AHNAK2	AHNAK nucleoprotein 2
6398	2.62e-184	3.37e-186	0.0901	-29.102133	-2.622247	641.82	SECTM1	secreted and transmembrane 1
165	2.20e-183	2.85e-185	0.0339	29.028778	0.983613	7295.55	AEBP1	AE binding protein 1
1462	3.63e-183	4.72e-185	0.0321	29.011413	0.931507	35234.53	VCAN	versican
9414	5.35e-183	6.99e-185	0.069	-28.99792	-2.000735	1067.28	TJP2	tight junction protein 2
2181	6.45e-183	8.47e-185	0.0346	28.991288	1.004387	6766.53	ACSL3	acyl-CoA synthetase long chain family member 3
79899	1.30e-182	1.72e-184	0.1341	28.966975	3.885104	373.5	PRR5L	proline rich 5 like
1030	1.95e-182	2.58e-184	0.0666	28.952874	1.927873	1073.35	CDKN2B	cyclin dependent kinase inhibitor 2B
8492	7.63e-182	1.02e-183	0.0429	-28.905548	-1.239668	3191.79	PRSS12	serine protease 12
81029	1.69e-179	2.27e-181	0.062	28.718104	1.77957	1750.65	WNT5B	Wnt family member 5B
1404	1.85e-179	2.49e-181	0.1319	28.714899	3.787448	386.51	HAPLN1	hyaluronan and proteoglycan link protein 1
10468	2.43e-178	3.28e-180	0.048	-28.624982	-1.373977	9372.46	FST	follistatin
2023	4.55e-178	6.18e-180	0.0384	28.602928	1.098835	24380.28	ENO1	enolase 1
2048	2.69e-177	3.67e-179	0.052	28.540629	1.48364	1825.61	EPHB2	EPH receptor B2
664	2.73e-177	3.74e-179	0.0459	28.539977	1.311134	2811.98	BNIP3	BCL2 interacting protein 3
4603	9.40e-175	1.29e-176	0.0687	-28.334623	-1.945626	1032.17	MYBL1	MYB proto-oncogene like 1
8507	1.31e-173	1.81e-175	0.0543	28.241547	1.534164	1579.9	ENC1	ectodermal-neural cortex 1
2037	3.88e-173	5.39e-175	0.0387	-28.202911	-1.091513	4689.9	EPB41L2	erythrocyte membrane protein band 4.1 like 2
55619	5.70e-173	7.96e-175	0.0527	28.189076	1.48442	1786.64	DOCK10	dedicator of cytokinesis 10
10602	5.82e-173	8.16e-175	0.0373	28.188208	1.050117	4791	CDC42EP3	CDC42 effector protein 3
101448202	1.54e-172	2.17e-174	0.0877	28.153456	2.46776	546.99	LOC101448202	uncharacterized LOC101448202
64778	1.65e-172	2.33e-174	0.0377	28.151013	1.062538	4474.1	FNDC3B	fibronectin type III domain containing 3B
821	1.67e-172	2.37e-174	0.0293	28.150376	0.823919	16436.86	CANX	calnexin
5898	2.59e-172	3.70e-174	0.0448	28.134619	1.261691	2573.69	RALA	RAS like proto-oncogene A
10560	3.81e-172	5.46e-174	0.1031	28.120755	2.898717	452.2	SLC19A2	solute carrier family 19 member 2
1303	4.34e-172	6.25e-174	0.029	-28.115948	-0.816322	30346.5	COL12A1	collagen type XII alpha 1 chain
4313	4.80e-172	6.95e-174	0.0285	28.11222	0.802598	33129.88	MMP2	matrix metallopeptidase 2
57491	3.30e-171	4.80e-173	0.0762	-28.043487	-2.135959	869.02	AHRR	aryl hydrocarbon receptor repressor
861	4.28e-171	6.25e-173	0.0448	28.034056	1.255342	3565.24	RUNX1	RUNX family transcription factor 1
84898	7.30e-171	1.07e-172	0.0745	28.014901	2.088473	813.79	PLXDC2	plexin domain containing 2
11162	2.06e-170	3.03e-172	0.0616	27.977742	1.723095	1124.22	NUDT6	nudix hydrolase 6
116113	1.18e-169	1.74e-171	0.0682	27.915307	1.902577	939.47	FOXP4	forkhead box P4
79901	7.26e-168	1.08e-169	0.0428	-27.76725	-1.189221	2873.45	CYBRD1	cytochrome b reductase 1
5740	2.46e-167	3.67e-169	0.0793	-27.723142	-2.19769	802.38	PTGIS	prostaglandin I2 synthase
4478	3.41e-167	5.10e-169	0.0335	27.711312	0.929231	19662.21	MSN	moesin
6744	7.19e-167	1.08e-168	0.0379	-27.684205	-1.049195	5535.87	ITPRID2	ITPR interacting domain containing 2
7791	1.42e-166	2.14e-168	0.0372	27.659607	1.027989	7253.94	ZYX	zyxin
7048	2.65e-165	4.02e-167	0.0404	-27.553496	-1.113024	3934.23	TGFBR2	transforming growth factor beta receptor 2
79094	2.91e-164	4.44e-166	0.0639	27.466281	1.755033	1035.58	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1
1906	8.45e-164	1.29e-165	0.1466	27.427393	4.022165	354.23	EDN1	endothelin 1
27086	2.16e-163	3.33e-165	0.0416	27.392966	1.138579	3874.1	FOXP1	forkhead box P1
57214	2.23e-163	3.45e-165	0.0732	-27.391683	-2.005645	1289.2	CEMIP	cell migration inducing hyaluronidase 1
1265	3.98e-163	6.16e-165	0.0375	27.370463	1.026098	5123.79	CNN2	calponin 2
5493	1.35e-162	2.09e-164	0.1879	-27.325837	-5.134121	495.56	PPL	periplakin
7049	6.36e-162	9.93e-164	0.0991	-27.268865	-2.702131	548.36	TGFBR3	transforming growth factor beta receptor 3
221749	3.73e-160	5.84e-162	0.0527	27.119218	1.430047	1737.96	PXDC1	PX domain containing 1
9180	1.14e-159	1.80e-161	0.0372	27.077845	1.007722	4469.24	OSMR	oncostatin M receptor
2316	8.12e-159	1.28e-160	0.0342	27.005205	0.922358	92078.75	FLNA	filamin A
22877	1.27e-158	2.01e-160	0.0526	26.988594	1.420121	2043.79	MLXIP	MLX interacting protein
4651	3.02e-155	4.82e-157	0.0367	26.699132	0.98108	6613.8	MYO10	myosin X
5742	5.81e-155	9.30e-157	0.0528	26.674499	1.407856	1615.62	PTGS1	prostaglandin-endoperoxide synthase 1
115908	6.79e-155	1.09e-156	0.0481	26.66852	1.283183	2438.45	CTHRC1	collagen triple helix repeat containing 1
1832	1.20e-154	1.93e-156	0.0536	26.647084	1.428665	1583.72	DSP	desmoplakin
5214	2.88e-154	4.66e-156	0.0408	26.614078	1.084846	4035.92	PFKP	phosphofructokinase, platelet
6301	1.82e-153	2.96e-155	0.0352	26.544597	0.934808	5872.26	SARS1	seryl-tRNA synthetase 1
6509	2.40e-153	3.91e-155	0.0722	26.534189	1.916854	822.23	SLC1A4	solute carrier family 1 member 4
9945	2.69e-152	4.41e-154	0.0545	26.442864	1.441534	1374.99	GFPT2	glutamine-fructose-6-phosphate transaminase 2
3696	4.75e-152	7.81e-154	0.141	-26.421264	-3.724909	404.83	ITGB8	integrin subunit beta 8
1465	1.46e-151	2.41e-153	0.0405	26.378646	1.067672	8390.45	CSRP1	cysteine and glycine rich protein 1
